CVE-2014-4027,264,,+Info,2014-06-23,2014-12-06,2.3,None,Local Network,Medium,Single system,Partial,None,None,rd_release_sgl_table,rd_release_device_space,rd_allocate_sgl_table,rd_build_device_space
CVE-2014-4014,264,,Bypass,2014-06-23,2014-07-11,6.2,None,Local,High,Not required,Complete,Complete,Complete,generic_permission,inode_change_ok,xfs_ioctl_setattr,NA,check_sticky,capable_wrt_inode_uidgid,inode_owner_or_capable,setattr_copy
CVE-2014-3985,119,,DoS Overflow,2014-09-11,2015-05-13,5.0,None,Remote,Low,Not required,None,None,Partial,NA
CVE-2014-3940,362,,DoS Mem. Corr.,2014-06-05,2015-03-18,4.0,None,Local,High,Not required,None,None,Complete,NA
CVE-2014-3917,200,,DoS +Info,2014-06-05,2015-05-11,3.3,None,Local,Medium,Not required,Partial,None,Partial,NA
CVE-2014-3690,399,,DoS,2014-11-10,2015-06-03,4.9,None,Local,Low,Not required,None,None,Complete,vmx_set_constant_host_state,vmx_vcpu_run
CVE-2014-3688,399,,DoS,2014-11-29,2015-06-03,5.0,None,Remote,Low,Not required,None,None,Partial,sctp_inq_pop,sctp_chunk_length_valid
CVE-2014-3687,399,,DoS,2014-11-10,2015-06-03,7.8,None,Remote,Low,Not required,None,None,Complete,sctp_chunk_pending,sctp_assoc_lookup_asconf_ack
CVE-2014-3673,399,,DoS,2014-11-10,2015-05-11,7.8,None,Remote,Low,Not required,None,None,Complete,sctp_process_asconf,sctp_verify_asconf,NA,sctp_sf_do_asconf,sctp_sf_do_asconf_ack
CVE-2014-3647,264,,DoS,2014-11-10,2015-03-25,2.1,None,Local,Low,Not required,None,None,Partial,jmp_rel,em_call,em_ret_near_imm,em_jcxz,assign_eip_near,assign_eip_far,em_ret,em_sysexit,x86_emulate_insn,em_grp45,em_loop
CVE-2014-3646,264,,DoS,2014-11-10,2015-03-25,2.1,None,Local,Low,Not required,None,None,Partial,NA,handle_invvpid,nested_vmx_exit_handled
CVE-2014-3645,20,,DoS,2014-11-10,2015-03-17,2.1,None,Local,Low,Not required,None,None,Partial,NA,handle_invept,nested_vmx_exit_handled
CVE-2014-3631,,1,DoS,2014-09-28,2015-03-17,7.2,None,Local,Low,Not required,Complete,Complete,Complete,assoc_array_gc
CVE-2014-3611,362,,DoS,2014-11-10,2015-03-17,4.9,None,Local,Low,Not required,None,None,Complete,__kvm_migrate_pit_timer
